,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,30,330,380,0,0,0,0,136.01,4,7,360,1,0,0,1,0,0,0,1,0,1,0,0,343.66139561314725
1,2,50000,1,4,0,75,45,165,210,0,0,0,0,349.69,2,7,200,0,1,0,0,1,0,0,1,0,1,0,0,220.32749871852545
2,3,85000,1,3,0,75,20,450,500,0,0,0,0,335.43,7,7,360,0,1,0,0,1,0,1,0,0,1,0,0,360.5712955981933
3,4,80000,1,5,0,75,45,165,210,0,0,0,0,310.44,2,7,250,1,0,0,0,1,0,0,1,1,0,0,0,273.23444840407495
4,5,75000,1,4,0,75,30,285,330,0,0,0,0,276.74,0,7,320,0,1,0,0,1,0,0,1,1,0,0,0,305.6390966113484
5,6,50000,1,4,0,75,45,330,380,0,0,0,0,224.96,2,7,200,0,1,0,1,0,0,0,1,0,1,0,0,264.8055539994317
6,7,75000,1,4,0,75,30,150,200,0,0,0,0,167.03,4,7,320,0,1,0,1,0,0,1,0,1,0,0,0,285.3750498957956
7,8,75000,1,6,0,75,40,210,260,0,0,0,0,122.1,3,7,360,0,1,0,1,0,0,1,0,0,1,0,0,397.5819064196565
8,9,75000,1,6,0,75,45,165,210,0,0,0,0,107.42,3,7,300,0,1,0,1,0,0,1,0,1,0,0,0,358.1406554976085
9,10,75000,1,6,0,75,40,400,450,0,0,0,0,151.09,3,7,360,0,1,0,1,0,0,0,1,1,0,0,0,446.0312105155147
10,11,75000,1,3,0,75,20,200,250,0,0,0,0,249.0,1,7,360,0,1,0,1,0,0,1,0,0,1,0,0,285.21402241685786
11,12,75000,1,6,0,75,40,210,260,0,0,0,0,290.0,8,7,360,1,0,0,1,0,0,1,0,0,1,0,0,408.5751168889419
12,13,75000,1,3,0,75,35,285,330,0,0,0,0,266.37,6,7,240,0,1,0,1,0,0,1,0,1,0,0,0,245.87276732138966
13,14,75000,1,5,0,75,40,165,210,0,0,0,0,238.1,3,7,250,1,0,0,0,1,0,1,0,1,0,0,0,289.82282055241785
14,15,75000,1,4,0,75,60,120,170,0,0,0,0,203.82,0,7,160,1,0,0,1,0,0,0,1,1,0,0,0,189.92574734842842
15,16,75000,1,4,0,75,30,285,330,0,0,0,0,156.35,2,7,320,0,1,0,1,0,0,0,1,1,0,0,0,319.89732892194536
16,17,75000,1,3,0,75,35,285,330,0,0,0,0,104.85,2,7,240,0,1,0,1,0,0,0,1,1,0,0,0,251.26676191531237
17,18,45000,1,5,0,75,40,165,210,0,0,0,0,76.55,1,7,250,1,0,0,1,0,0,0,1,1,0,0,0,296.2227901450387
18,19,40000,1,4,0,75,60,280,330,0,0,0,0,52.61,2,7,160,1,0,0,1,0,0,1,0,0,1,0,0,225.90761621580728
19,20,105000,1,3,0,75,25,450,500,0,0,0,0,126.21,1,7,360,0,1,0,1,0,0,0,1,0,1,0,0,328.3462003894034
20,21,100000,1,6,0,75,40,300,350,0,0,0,0,189.99,0,7,360,0,1,0,1,0,0,1,0,1,0,0,0,454.7357273519459
21,22,105000,1,6,0,75,35,210,260,0,0,0,0,251.53,7,7,360,0,1,0,0,1,0,1,0,1,0,0,0,417.7308708483975
22,23,50000,1,4,0,75,45,165,210,0,0,0,0,240.93,7,7,200,0,1,0,0,1,0,0,1,1,0,0,0,231.74677264882976
23,24,45000,1,3,0,75,25,285,330,0,0,0,0,207.39,5,7,240,0,1,0,0,1,0,0,1,0,1,0,0,272.1053808341539
24,25,65000,1,5,0,75,45,380,430,0,0,0,0,182.72,2,7,250,1,0,0,1,0,0,0,1,1,0,0,0,323.85932731994785
25,26,50000,1,3,0,75,25,285,330,0,0,0,0,112.16,0,7,240,1,0,0,1,0,0,1,0,0,1,0,0,267.35371774592306
26,27,105000,1,3,0,75,20,450,500,0,0,0,0,56.3,1,7,360,1,0,0,1,0,0,1,0,0,1,0,0,362.6193066810926
27,28,40000,1,4,0,75,50,120,170,0,0,0,0,30.41,1,7,160,1,0,0,1,0,0,1,0,1,0,0,0,203.9983470398842
28,29,40000,1,3,0,75,25,200,250,0,0,0,0,74.43,2,7,240,1,0,0,1,0,0,0,1,0,1,0,0,238.44732042118181
29,30,40000,1,4,0,75,60,120,170,0,0,0,0,141.01,2,7,160,0,1,0,1,0,0,1,0,0,1,0,0,177.04458019845953
30,31,40000,1,4,0,75,60,360,410,0,0,0,0,144.28,3,7,160,0,1,0,1,0,0,0,1,1,0,0,0,191.5584123904859
31,32,40000,1,4,0,75,65,90,140,0,0,0,0,167.93,5,7,120,0,1,0,0,1,0,0,1,0,1,0,0,188.45924367721184
32,33,40000,1,4,0,75,40,210,260,0,0,0,0,67.2,4,7,240,1,0,0,1,0,0,1,0,0,1,0,0,245.77756894221272
33,34,40000,1,3,0,75,30,120,170,0,0,0,0,93.52,5,7,270,0,1,0,0,1,0,0,1,0,1,0,0,210.30347901969805
34,35,40000,1,4,0,75,50,120,170,0,0,0,1,102.07,5,7,160,1,0,0,0,1,0,0,1,1,0,0,0,220.53211154427635
35,36,40000,1,5,0,75,55,280,330,0,0,0,0,60.88,2,7,200,1,0,0,0,1,0,1,0,0,1,0,0,296.67323067034675
36,37,40000,1,3,0,75,35,240,290,0,0,0,0,87.0,0,7,210,0,1,0,1,0,0,1,0,0,1,0,0,219.8779529803801
37,38,40000,1,4,0,75,45,165,210,0,0,0,0,92.91,3,7,200,0,1,0,0,1,0,1,0,1,0,0,0,233.855640289671
38,39,100000,1,4,0,75,50,120,170,0,0,0,0,126.53,3,7,160,0,1,0,0,1,0,0,1,0,1,0,0,222.35329222954107
39,40,60000,1,3,0,75,55,300,350,0,0,0,0,167.06,6,7,120,0,1,0,0,1,0,0,1,0,1,0,0,220.7612830622096
40,41,45000,1,3,0,75,65,120,170,0,0,0,0,206.46,6,7,90,1,0,0,0,1,0,0,1,1,0,0,0,157.22772748988658
41,42,60000,1,3,0,75,70,260,310,0,0,0,0,193.83,6,7,90,1,0,0,0,1,0,1,0,1,0,0,0,186.6002978065349
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,188.4,4,7,120,1,0,0,0,1,0,0,1,0,1,0,0,188.68420019125222
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,139.45,4,7,120,1,0,0,0,1,0,1,0,0,1,0,0,155.33991545944613
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,74.4,3,7,240,1,0,0,1,0,0,1,0,1,0,0,0,249.8647695857705
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,35.36,1,7,400,0,1,0,1,0,0,1,0,1,0,0,0,374.6085416135393
