,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,30,330,380,0,0,0,0,136.01,4,7,360,1,0,0,1,0,0,0,1,0,1,0,0,480.1503859549109
1,2,50000,1,4,0,75,45,165,210,0,0,0,0,349.69,2,7,200,0,1,0,0,1,0,0,1,0,1,0,0,357.16953819879086
2,3,85000,1,3,0,75,20,450,500,0,0,0,0,335.43,7,7,360,0,1,0,0,1,0,1,0,0,1,0,0,485.21437295737843
3,4,80000,1,5,0,75,45,165,210,0,0,0,0,310.44,2,7,250,1,0,0,0,1,0,0,1,1,0,0,0,434.1412822987153
4,5,75000,1,4,0,75,30,285,330,0,0,0,0,276.74,0,7,320,0,1,0,0,1,0,0,1,1,0,0,0,455.67841991124664
5,6,50000,1,4,0,75,45,330,380,0,0,0,0,224.96,2,7,200,0,1,0,1,0,0,0,1,0,1,0,0,430.7076161462313
6,7,75000,1,4,0,75,30,150,200,0,0,0,0,167.03,4,7,320,0,1,0,1,0,0,1,0,1,0,0,0,399.37156882257386
7,8,75000,1,6,0,75,40,210,260,0,0,0,0,122.1,3,7,360,0,1,0,1,0,0,1,0,0,1,0,0,542.2087258513474
8,9,75000,1,6,0,75,45,165,210,0,0,0,0,107.42,3,7,300,0,1,0,1,0,0,1,0,1,0,0,0,507.9479258735316
9,10,75000,1,6,0,75,40,400,450,0,0,0,0,151.09,3,7,360,0,1,0,1,0,0,0,1,1,0,0,0,625.192627546647
10,11,75000,1,3,0,75,20,200,250,0,0,0,0,249.0,1,7,360,0,1,0,1,0,0,1,0,0,1,0,0,378.8211585398744
11,12,75000,1,6,0,75,40,210,260,0,0,0,0,290.0,8,7,360,1,0,0,1,0,0,1,0,0,1,0,0,545.61016339841
12,13,75000,1,3,0,75,35,285,330,0,0,0,0,266.37,6,7,240,0,1,0,1,0,0,1,0,1,0,0,0,371.7642282199678
13,14,75000,1,5,0,75,40,165,210,0,0,0,0,238.1,3,7,250,1,0,0,0,1,0,1,0,1,0,0,0,446.7862247723507
14,15,75000,1,4,0,75,60,120,170,0,0,0,0,203.82,0,7,160,1,0,0,1,0,0,0,1,1,0,0,0,298.0718819705449
15,16,75000,1,4,0,75,30,285,330,0,0,0,0,156.35,2,7,320,0,1,0,1,0,0,0,1,1,0,0,0,458.13986035340946
16,17,75000,1,3,0,75,35,285,330,0,0,0,0,104.85,2,7,240,0,1,0,1,0,0,0,1,1,0,0,0,368.4737969497075
17,18,45000,1,5,0,75,40,165,210,0,0,0,0,76.55,1,7,250,1,0,0,1,0,0,0,1,1,0,0,0,444.41246501701414
18,19,40000,1,4,0,75,60,280,330,0,0,0,0,52.61,2,7,160,1,0,0,1,0,0,1,0,0,1,0,0,359.4911839181914
19,20,105000,1,3,0,75,25,450,500,0,0,0,0,126.21,1,7,360,0,1,0,1,0,0,0,1,0,1,0,0,473.84725513452145
20,21,100000,1,6,0,75,40,300,350,0,0,0,0,189.99,0,7,360,0,1,0,1,0,0,1,0,1,0,0,0,586.1044881085285
21,22,105000,1,6,0,75,35,210,260,0,0,0,0,251.53,7,7,360,0,1,0,0,1,0,1,0,1,0,0,0,558.7239935816746
22,23,50000,1,4,0,75,45,165,210,0,0,0,0,240.93,7,7,200,0,1,0,0,1,0,0,1,1,0,0,0,354.78063214975356
23,24,45000,1,3,0,75,25,285,330,0,0,0,0,207.39,5,7,240,0,1,0,0,1,0,0,1,0,1,0,0,391.17992793061046
24,25,65000,1,5,0,75,45,380,430,0,0,0,0,182.72,2,7,250,1,0,0,1,0,0,0,1,1,0,0,0,527.2630611193749
25,26,50000,1,3,0,75,25,285,330,0,0,0,0,112.16,0,7,240,1,0,0,1,0,0,1,0,0,1,0,0,395.00292552549286
26,27,105000,1,3,0,75,20,450,500,0,0,0,0,56.3,1,7,360,1,0,0,1,0,0,1,0,0,1,0,0,487.2428862451635
27,28,40000,1,4,0,75,50,120,170,0,0,0,0,30.41,1,7,160,1,0,0,1,0,0,1,0,1,0,0,0,319.39645529063154
28,29,40000,1,3,0,75,25,200,250,0,0,0,0,74.43,2,7,240,1,0,0,1,0,0,0,1,0,1,0,0,355.5450253241691
29,30,40000,1,4,0,75,60,120,170,0,0,0,0,141.01,2,7,160,0,1,0,1,0,0,1,0,0,1,0,0,291.9711106740572
30,31,40000,1,4,0,75,60,360,410,0,0,0,0,144.28,3,7,160,0,1,0,1,0,0,0,1,1,0,0,0,396.0723822145126
31,32,40000,1,4,0,75,65,90,140,0,0,0,0,167.93,5,7,120,0,1,0,0,1,0,0,1,0,1,0,0,259.57504664203987
32,33,40000,1,4,0,75,40,210,260,0,0,0,0,67.2,4,7,240,1,0,0,1,0,0,1,0,0,1,0,0,388.83725640209894
33,34,40000,1,3,0,75,30,120,170,0,0,0,0,93.52,5,7,270,0,1,0,0,1,0,0,1,0,1,0,0,301.306884502544
34,35,40000,1,4,0,75,50,120,170,0,0,0,1,102.07,5,7,160,1,0,0,0,1,0,0,1,1,0,0,0,315.7799804486432
35,36,40000,1,5,0,75,55,280,330,0,0,0,0,60.88,2,7,200,1,0,0,0,1,0,1,0,0,1,0,0,443.2262817933436
36,37,40000,1,3,0,75,35,240,290,0,0,0,0,87.0,0,7,210,0,1,0,1,0,0,1,0,0,1,0,0,343.4780963205766
37,38,40000,1,4,0,75,45,165,210,0,0,0,0,92.91,3,7,200,0,1,0,0,1,0,1,0,1,0,0,0,350.41813575624394
38,39,100000,1,4,0,75,50,120,170,0,0,0,0,126.53,3,7,160,0,1,0,0,1,0,0,1,0,1,0,0,324.4646390506805
39,40,60000,1,3,0,75,55,300,350,0,0,0,0,167.06,6,7,120,0,1,0,0,1,0,0,1,0,1,0,0,309.280208335035
40,41,45000,1,3,0,75,65,120,170,0,0,0,0,206.46,6,7,90,1,0,0,0,1,0,0,1,1,0,0,0,200.31377393650004
41,42,60000,1,3,0,75,70,260,310,0,0,0,0,193.83,6,7,90,1,0,0,0,1,0,1,0,1,0,0,0,247.9215022229932
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,188.4,4,7,120,1,0,0,0,1,0,0,1,0,1,0,0,273.03291577226616
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,139.45,4,7,120,1,0,0,0,1,0,1,0,0,1,0,0,215.8470669821992
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,74.4,3,7,240,1,0,0,1,0,0,1,0,1,0,0,0,379.39008465267875
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,35.36,1,7,400,0,1,0,1,0,0,1,0,1,0,0,0,505.97713601740014
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,51.62,1,7,400,0,1,0,1,0,0,0,1,1,0,0,0,543.8813319397598
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,90.8,1,7,240,1,0,0,1,0,0,0,1,0,1,0,0,513.4157042668911
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,136.56,2,7,120,1,0,0,0,1,0,1,0,1,0,0,0,470.1239397914615
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,150.72,4,7,120,1,0,0,0,1,0,1,0,1,0,0,0,505.8722613165536
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,102.08,1,7,180,1,0,0,0,1,0,0,1,1,0,0,0,395.8080748916362
51,52,105000,1,6,0,75,50,240,290,0,0,0,0,114.39,3,7,180,1,0,0,0,1,0,0,1,0,1,0,0,524.3743135938746
