,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,30,330,380,0,0,0,0,136.01,4,7,360,1,0,0,1,0,0,0,1,0,1,0,0,361.13801825506295
1,2,50000,1,4,0,75,45,165,210,0,0,0,0,349.69,2,7,200,0,1,0,0,1,0,0,1,0,1,0,0,210.07462398574435
2,3,85000,1,3,0,75,20,450,500,0,0,0,0,335.43,7,7,360,0,1,0,0,1,0,1,0,0,1,0,0,357.2355375666579
3,4,80000,1,5,0,75,45,165,210,0,0,0,0,310.44,2,7,250,1,0,0,0,1,0,0,1,1,0,0,0,280.71328370485975
4,5,75000,1,4,0,75,30,285,330,0,0,0,0,276.74,0,7,320,0,1,0,0,1,0,0,1,1,0,0,0,320.16681040561235
5,6,50000,1,4,0,75,45,330,380,0,0,0,0,224.96,2,7,200,0,1,0,1,0,0,0,1,0,1,0,0,310.2375938521934
6,7,75000,1,4,0,75,30,150,200,0,0,0,0,167.03,4,7,320,0,1,0,1,0,0,1,0,1,0,0,0,259.4466743857837
7,8,75000,1,6,0,75,40,210,260,0,0,0,0,122.1,3,7,360,0,1,0,1,0,0,1,0,0,1,0,0,396.643631202655
8,9,75000,1,6,0,75,45,165,210,0,0,0,0,107.42,3,7,300,0,1,0,1,0,0,1,0,1,0,0,0,363.6457760374463
9,10,75000,1,6,0,75,40,400,450,0,0,0,0,151.09,3,7,360,0,1,0,1,0,0,0,1,1,0,0,0,492.04525288830655
10,11,75000,1,3,0,75,20,200,250,0,0,0,0,249.0,1,7,360,0,1,0,1,0,0,1,0,0,1,0,0,238.60362749722023
11,12,75000,1,6,0,75,40,210,260,0,0,0,0,290.0,8,7,360,1,0,0,1,0,0,1,0,0,1,0,0,372.47535831835046
12,13,75000,1,3,0,75,35,285,330,0,0,0,0,266.37,6,7,240,0,1,0,1,0,0,1,0,1,0,0,0,243.8774748924966
13,14,75000,1,5,0,75,40,165,210,0,0,0,0,238.1,3,7,250,1,0,0,0,1,0,1,0,1,0,0,0,299.1878069395112
14,15,75000,1,4,0,75,60,120,170,0,0,0,0,203.82,0,7,160,1,0,0,1,0,0,0,1,1,0,0,0,175.78960726992383
15,16,75000,1,4,0,75,30,285,330,0,0,0,0,156.35,2,7,320,0,1,0,1,0,0,0,1,1,0,0,0,332.1335488860054
16,17,75000,1,3,0,75,35,285,330,0,0,0,0,104.85,2,7,240,0,1,0,1,0,0,0,1,1,0,0,0,266.5731990802195
17,18,45000,1,5,0,75,40,165,210,0,0,0,0,76.55,1,7,250,1,0,0,1,0,0,0,1,1,0,0,0,314.0766214120457
18,19,40000,1,4,0,75,60,280,330,0,0,0,0,52.61,2,7,160,1,0,0,1,0,0,1,0,0,1,0,0,270.743625297519
19,20,105000,1,3,0,75,25,450,500,0,0,0,0,126.21,1,7,360,0,1,0,1,0,0,0,1,0,1,0,0,377.8831197802369
20,21,100000,1,6,0,75,40,300,350,0,0,0,0,189.99,0,7,360,0,1,0,1,0,0,1,0,1,0,0,0,441.2780554533902
21,22,105000,1,6,0,75,35,210,260,0,0,0,0,251.53,7,7,360,0,1,0,0,1,0,1,0,1,0,0,0,395.3919725747926
22,23,50000,1,4,0,75,45,165,210,0,0,0,0,240.93,7,7,200,0,1,0,0,1,0,0,1,1,0,0,0,220.09324642636906
23,24,45000,1,3,0,75,25,285,330,0,0,0,0,207.39,5,7,240,0,1,0,0,1,0,0,1,0,1,0,0,270.5634304514355
24,25,65000,1,5,0,75,45,380,430,0,0,0,0,182.72,2,7,250,1,0,0,1,0,0,0,1,1,0,0,0,404.8437502112943
25,26,50000,1,3,0,75,25,285,330,0,0,0,0,112.16,0,7,240,1,0,0,1,0,0,1,0,0,1,0,0,285.02714002727953
26,27,105000,1,3,0,75,20,450,500,0,0,0,0,56.3,1,7,360,1,0,0,1,0,0,1,0,0,1,0,0,397.55833184834387
27,28,40000,1,4,0,75,50,120,170,0,0,0,0,30.41,1,7,160,1,0,0,1,0,0,1,0,1,0,0,0,212.88903125136258
28,29,40000,1,3,0,75,25,200,250,0,0,0,0,74.43,2,7,240,1,0,0,1,0,0,0,1,0,1,0,0,242.73710715272418
29,30,40000,1,4,0,75,60,120,170,0,0,0,0,141.01,2,7,160,0,1,0,1,0,0,1,0,0,1,0,0,176.46515287952084
30,31,40000,1,4,0,75,60,360,410,0,0,0,0,144.28,3,7,160,0,1,0,1,0,0,0,1,1,0,0,0,300.40922455856264
31,32,40000,1,4,0,75,65,90,140,0,0,0,0,167.93,5,7,120,0,1,0,0,1,0,0,1,0,1,0,0,145.9621822648328
32,33,40000,1,4,0,75,40,210,260,0,0,0,0,67.2,4,7,240,1,0,0,1,0,0,1,0,0,1,0,0,275.25034955999723
33,34,40000,1,3,0,75,30,120,170,0,0,0,0,93.52,5,7,270,0,1,0,0,1,0,0,1,0,1,0,0,187.15329070834196
34,35,40000,1,4,0,75,50,120,170,0,0,0,1,102.07,5,7,160,1,0,0,0,1,0,0,1,1,0,0,0,202.83883230629993
35,36,40000,1,5,0,75,55,280,330,0,0,0,0,60.88,2,7,200,1,0,0,0,1,0,1,0,0,1,0,0,343.18742802253047
36,37,40000,1,3,0,75,35,240,290,0,0,0,0,87.0,0,7,210,0,1,0,1,0,0,1,0,0,1,0,0,241.31803720090107
37,38,40000,1,4,0,75,45,165,210,0,0,0,0,92.91,3,7,200,0,1,0,0,1,0,1,0,1,0,0,0,239.4871897890833
38,39,100000,1,4,0,75,50,120,170,0,0,0,0,126.53,3,7,160,0,1,0,0,1,0,0,1,0,1,0,0,210.98616107721315
39,40,60000,1,3,0,75,55,300,350,0,0,0,0,167.06,6,7,120,0,1,0,0,1,0,0,1,0,1,0,0,219.24104137129805
40,41,45000,1,3,0,75,65,120,170,0,0,0,0,206.46,6,7,90,1,0,0,0,1,0,0,1,1,0,0,0,96.07490814375984
41,42,60000,1,3,0,75,70,260,310,0,0,0,0,193.83,6,7,90,1,0,0,0,1,0,1,0,1,0,0,0,161.985065437848
42,43,40000,1,4,0,75,65,120,170,0,0,0,0,188.4,4,7,120,1,0,0,0,1,0,0,1,0,1,0,0,159.7459142879093
43,44,60000,1,3,0,75,60,120,170,0,0,0,0,139.45,4,7,120,1,0,0,0,1,0,1,0,0,1,0,0,119.21048766015963
44,45,65000,1,4,0,75,40,180,230,0,0,0,0,74.4,3,7,240,1,0,0,1,0,0,1,0,1,0,0,0,263.49973926469687
45,46,100000,1,4,0,75,25,360,410,0,0,0,0,35.36,1,7,400,0,1,0,1,0,0,1,0,1,0,0,0,402.293328897378
46,47,70000,1,5,0,75,25,285,330,0,0,0,0,51.62,1,7,400,0,1,0,1,0,0,0,1,1,0,0,0,416.86662980130023
47,48,100000,1,6,0,75,55,240,290,0,0,0,0,90.8,1,7,240,1,0,0,1,0,0,0,1,0,1,0,0,388.4834339833606
48,49,85000,1,6,0,75,50,120,170,0,0,0,0,136.56,2,7,120,1,0,0,0,1,0,1,0,1,0,0,0,329.7561072627313
49,50,100000,1,6,0,75,65,300,350,0,0,0,0,150.72,4,7,120,1,0,0,0,1,0,1,0,1,0,0,0,389.75334159981537
50,51,90000,1,6,0,75,75,120,170,0,0,0,0,102.08,1,7,180,1,0,0,0,1,0,0,1,1,0,0,0,280.3356246708263
