,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,330,380,0,0,0,0,360,1,0,0,1,0,0,0,1,0,1,0,0,361.3465288368178
1,2,50000,1,4,0,75,165,210,0,0,0,0,200,0,1,0,0,1,0,0,1,0,1,0,0,201.5676235814991
2,3,85000,1,3,0,75,450,500,0,0,0,0,360,0,1,0,0,1,0,1,0,0,1,0,0,379.97367471909035
3,4,80000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,0,1,0,0,1,1,0,0,0,236.29663240734982
4,5,75000,1,4,0,75,285,330,0,0,0,0,320,0,1,0,0,1,0,0,1,1,0,0,0,309.87994362864924
5,6,50000,1,4,0,75,330,380,0,0,0,0,200,0,1,0,1,0,0,0,1,0,1,0,0,358.4332602069151
6,7,75000,1,4,0,75,150,200,0,0,0,0,320,0,1,0,1,0,0,1,0,1,0,0,0,246.78463245527905
7,8,75000,1,6,0,75,210,260,0,0,0,0,360,0,1,0,1,0,0,1,0,0,1,0,0,364.7919794044377
8,9,75000,1,6,0,75,165,210,0,0,0,0,300,0,1,0,1,0,0,1,0,1,0,0,0,293.502883490964
9,10,75000,1,6,0,75,400,450,0,0,0,0,360,0,1,0,1,0,0,0,1,1,0,0,0,499.5335403682731
10,11,75000,1,3,0,75,200,250,0,0,0,0,360,0,1,0,1,0,0,1,0,0,1,0,0,221.46634604290549
11,12,75000,1,6,0,75,210,260,0,0,0,0,360,1,0,0,1,0,0,1,0,0,1,0,0,364.7919794044377
12,13,75000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,1,0,0,1,0,1,0,0,0,244.219211141658
13,14,75000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,0,1,0,1,0,1,0,0,0,236.29663240734982
14,15,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,1,0,0,0,1,1,0,0,0,163.59619248602343
15,16,75000,1,4,0,75,285,330,0,0,0,0,320,0,1,0,1,0,0,0,1,1,0,0,0,309.87994362864924
16,17,75000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,1,0,0,0,1,1,0,0,0,244.219211141658
17,18,45000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,1,0,0,0,1,1,0,0,0,215.09132947301896
18,19,40000,1,4,0,75,280,330,0,0,0,0,160,1,0,0,1,0,0,1,0,0,1,0,0,286.2535273585995
