,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,330,380,0,0,0,0,360,1,0,0,1,0,0,0,1,0,1,0,0,397.5073268578146
1,2,50000,1,4,0,75,165,210,0,0,0,0,200,0,1,0,0,1,0,0,1,0,1,0,0,225.56238189528784
2,3,85000,1,3,0,75,450,500,0,0,0,0,360,0,1,0,0,1,0,1,0,0,1,0,0,395.8740319217545
3,4,80000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,0,1,0,0,1,1,0,0,0,246.833994117177
4,5,75000,1,4,0,75,285,330,0,0,0,0,320,0,1,0,0,1,0,0,1,1,0,0,0,295.35090286435445
5,6,50000,1,4,0,75,330,380,0,0,0,0,200,0,1,0,1,0,0,0,1,0,1,0,0,339.4895911859485
6,7,75000,1,4,0,75,150,200,0,0,0,0,320,0,1,0,1,0,0,1,0,1,0,0,0,271.8026994692402
7,8,75000,1,6,0,75,210,260,0,0,0,0,360,0,1,0,1,0,0,1,0,0,1,0,0,407.05186693620607
8,9,75000,1,6,0,75,165,210,0,0,0,0,300,0,1,0,1,0,0,1,0,1,0,0,0,368.76255665580413
9,10,75000,1,6,0,75,400,450,0,0,0,0,360,0,1,0,1,0,0,0,1,1,0,0,0,636.9225121570316
10,11,75000,1,3,0,75,200,250,0,0,0,0,360,0,1,0,1,0,0,1,0,0,1,0,0,281.08513158361325
11,12,75000,1,6,0,75,210,260,0,0,0,0,360,1,0,0,1,0,0,1,0,0,1,0,0,407.05186693620607
12,13,75000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,1,0,0,1,0,1,0,0,0,289.2627524598101
13,14,75000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,0,1,0,1,0,1,0,0,0,246.57454312313232
14,15,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,1,0,0,0,1,1,0,0,0,269.10614894017414
15,16,75000,1,4,0,75,285,330,0,0,0,0,320,0,1,0,1,0,0,0,1,1,0,0,0,330.0539167006834
16,17,75000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,1,0,0,0,1,1,0,0,0,289.2627524598101
17,18,45000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,1,0,0,0,1,1,0,0,0,287.54563867416664
18,19,40000,1,4,0,75,280,330,0,0,0,0,160,1,0,0,1,0,0,1,0,0,1,0,0,298.2993725789527
19,20,105000,1,3,0,75,450,500,0,0,0,0,360,0,1,0,1,0,0,0,1,0,1,0,0,432.67897274336025
20,21,100000,1,6,0,75,300,350,0,0,0,0,360,0,1,0,1,0,0,1,0,1,0,0,0,516.8443859060754
21,22,105000,1,6,0,75,210,260,0,0,0,0,360,0,1,0,0,1,0,1,0,1,0,0,0,382.03166511141507
22,23,50000,1,4,0,75,165,210,0,0,0,0,200,0,1,0,0,1,0,0,1,1,0,0,0,225.56238189528784
23,24,45000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,0,1,0,0,1,0,1,0,0,273.18142967167245
24,25,65000,1,5,0,75,380,430,0,0,0,0,250,1,0,0,1,0,0,0,1,1,0,0,0,485.2998533521556
25,26,50000,1,3,0,75,285,330,0,0,0,0,240,1,0,0,1,0,0,1,0,0,1,0,0,271.8880816355457
26,27,105000,1,3,0,75,450,500,0,0,0,0,360,1,0,0,1,0,0,1,0,0,1,0,0,432.67897274336025
27,28,40000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,1,0,0,1,0,1,0,0,0,244.1105586412127
28,29,40000,1,3,0,75,200,250,0,0,0,0,240,1,0,0,1,0,0,0,1,0,1,0,0,255.71090184934312
29,30,40000,1,4,0,75,120,170,0,0,0,0,160,0,1,0,1,0,0,1,0,0,1,0,0,244.1105586412127
30,31,40000,1,4,0,75,360,410,0,0,0,0,160,0,1,0,1,0,0,0,1,1,0,0,0,362.11166195402836
31,32,40000,1,4,0,75,90,140,0,0,0,0,120,0,1,0,0,1,0,0,1,0,1,0,0,206.14233530343202
32,33,40000,1,4,0,75,210,260,0,0,0,0,240,1,0,0,1,0,0,1,0,0,1,0,0,264.4787986802119
33,34,40000,1,3,0,75,120,170,0,0,0,0,270,0,1,0,0,1,0,0,1,0,1,0,0,211.85691971276484
34,35,40000,1,4,0,75,120,170,0,0,0,1,160,1,0,0,0,1,0,0,1,1,0,0,0,215.28077234692225
35,36,40000,1,5,0,75,280,330,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,341.5743739052271
36,37,40000,1,3,0,75,240,290,0,0,0,0,210,0,1,0,1,0,0,1,0,0,1,0,0,255.44174503194046
37,38,40000,1,4,0,75,165,210,0,0,0,0,200,0,1,0,0,1,0,1,0,1,0,0,0,233.2501616816422
38,39,100000,1,4,0,75,120,170,0,0,0,0,160,0,1,0,0,1,0,0,1,0,1,0,0,207.90921961240204
39,40,60000,1,3,0,75,300,350,0,0,0,0,120,0,1,0,0,1,0,0,1,0,1,0,0,271.07862349319674
40,41,45000,1,3,0,75,120,170,0,0,0,0,90,1,0,0,0,1,0,0,1,1,0,0,0,205.65350179359464
41,42,60000,1,3,0,75,260,310,0,0,0,0,90,1,0,0,0,1,0,1,0,1,0,0,0,249.47736655406965
42,43,40000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,0,1,0,1,0,0,215.28077234692225
43,44,60000,1,3,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,197.13160433240066
44,45,65000,1,4,0,75,180,230,0,0,0,0,240,1,0,0,1,0,0,1,0,1,0,0,0,268.1166873119212
45,46,100000,1,4,0,75,360,410,0,0,0,0,400,0,1,0,1,0,0,1,0,1,0,0,0,417.1075490768208
46,47,70000,1,5,0,75,285,330,0,0,0,0,400,0,1,0,1,0,0,0,1,1,0,0,0,383.7044047207881
47,48,100000,1,6,0,75,240,290,0,0,0,0,240,1,0,0,1,0,0,0,1,0,1,0,0,456.09139329447606
48,49,85000,1,6,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,260.75583304334606
49,50,100000,1,6,0,75,300,350,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,517.274036025146
50,51,90000,1,6,0,75,120,170,0,0,0,0,180,1,0,0,0,1,0,0,1,1,0,0,0,264.7036500491916
51,52,105000,1,6,0,75,240,290,0,0,0,0,180,1,0,0,0,1,0,0,1,0,1,0,0,428.53105531794546
52,53,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,0,1,0,0,1,1,0,0,0,194.21876564301152
53,54,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,194.21876564301152
54,55,75000,1,6,0,75,200,250,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,340.9970701407423
55,56,75000,1,4,0,75,120,170,0,0,0,0,120,1,0,0,0,1,0,1,0,0,1,0,0,194.21876564301152
56,57,75000,1,5,0,75,310,360,0,0,0,0,200,1,0,0,0,1,0,1,0,1,0,0,0,390.1824859225733
57,58,75000,1,3,0,75,285,330,0,0,0,0,240,1,0,0,1,0,0,0,1,1,0,0,0,289.2627524598101
58,59,75000,1,3,0,75,330,380,0,0,0,0,270,1,0,0,0,1,0,0,1,1,0,0,0,288.7521011445926
59,60,75000,1,3,0,75,280,330,0,0,0,0,300,1,0,0,1,0,0,0,1,1,0,0,0,287.02417721882034
60,61,80000,1,4,0,75,210,260,0,0,0,0,240,1,0,0,0,1,0,0,1,0,1,0,0,240.1747268180784
61,62,40000,1,4,0,75,165,210,0,0,0,0,200,1,0,0,0,1,0,1,0,0,1,0,0,233.2501616816422
62,63,75000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,0,0,0,1,212.29189565109024
63,64,40000,1,4,0,75,100,150,0,0,0,0,80,1,0,0,0,1,0,1,0,0,0,0,1,208.51096995260284
64,65,45000,1,3,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,0,0,1,214.2340310636264
65,66,90000,1,6,0,75,165,210,0,0,0,0,60,1,0,0,0,1,0,0,1,0,1,0,0,298.96623761025296
66,67,50000,1,4,0,75,200,250,0,0,0,0,120,1,0,0,1,0,0,0,1,0,1,0,0,263.29036534079273
