,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,330,380,0,0,0,0,360,1,0,0,1,0,0,0,1,0,1,0,0,375.5038867494236
1,2,50000,1,4,0,75,165,210,0,0,0,0,200,0,1,0,0,1,0,0,1,0,1,0,0,207.52901653153546
2,3,85000,1,3,0,75,450,500,0,0,0,0,360,0,1,0,0,1,0,1,0,0,1,0,0,409.187887880453
3,4,80000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,0,1,0,0,1,1,0,0,0,223.942827690012
4,5,75000,1,4,0,75,285,330,0,0,0,0,320,0,1,0,0,1,0,0,1,1,0,0,0,279.22643084353183
5,6,50000,1,4,0,75,330,380,0,0,0,0,200,0,1,0,1,0,0,0,1,0,1,0,0,375.5038867494236
6,7,75000,1,4,0,75,150,200,0,0,0,0,320,0,1,0,1,0,0,1,0,1,0,0,0,235.24570434045665
7,8,75000,1,6,0,75,210,260,0,0,0,0,360,0,1,0,1,0,0,1,0,0,1,0,0,326.66154001209253
8,9,75000,1,6,0,75,165,210,0,0,0,0,300,0,1,0,1,0,0,1,0,1,0,0,0,267.9268769577422
9,10,75000,1,6,0,75,400,450,0,0,0,0,360,0,1,0,1,0,0,0,1,1,0,0,0,540.546702536096
10,11,75000,1,3,0,75,200,250,0,0,0,0,360,0,1,0,1,0,0,1,0,0,1,0,0,210.19554713338047
11,12,75000,1,6,0,75,210,260,0,0,0,0,360,1,0,0,1,0,0,1,0,0,1,0,0,326.66154001209253
12,13,75000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,1,0,0,1,0,1,0,0,0,276.0150366111211
13,14,75000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,0,1,0,1,0,1,0,0,0,223.942827690012
14,15,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,1,0,0,0,1,1,0,0,0,165.14309497128264
15,16,75000,1,4,0,75,285,330,0,0,0,0,320,0,1,0,1,0,0,0,1,1,0,0,0,279.22643084353183
16,17,75000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,1,0,0,0,1,1,0,0,0,276.0150366111211
17,18,45000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,1,0,0,0,1,1,0,0,0,219.74593458011478
18,19,40000,1,4,0,75,280,330,0,0,0,0,160,1,0,0,1,0,0,1,0,0,1,0,0,264.7444782960662
