,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
0,1,100000,1,4,0,75,330,380,0,0,0,0,360,1,0,0,1,0,0,0,1,0,1,0,0,370.0342595524717
1,2,50000,1,4,0,75,165,210,0,0,0,0,200,0,1,0,0,1,0,0,1,0,1,0,0,155.5317175807975
2,3,85000,1,3,0,75,450,500,0,0,0,0,360,0,1,0,0,1,0,1,0,0,1,0,0,416.76757946808186
3,4,80000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,0,1,0,0,1,1,0,0,0,224.6984280134531
4,5,75000,1,4,0,75,285,330,0,0,0,0,320,0,1,0,0,1,0,0,1,1,0,0,0,293.3046553854707
5,6,50000,1,4,0,75,330,380,0,0,0,0,200,0,1,0,1,0,0,0,1,0,1,0,0,360.83433805210717
6,7,75000,1,4,0,75,150,200,0,0,0,0,320,0,1,0,1,0,0,1,0,1,0,0,0,165.674833220553
7,8,75000,1,6,0,75,210,260,0,0,0,0,360,0,1,0,1,0,0,1,0,0,1,0,0,359.55483681267225
8,9,75000,1,6,0,75,165,210,0,0,0,0,300,0,1,0,1,0,0,1,0,1,0,0,0,307.458116552188
9,10,75000,1,6,0,75,400,450,0,0,0,0,360,0,1,0,1,0,0,0,1,1,0,0,0,570.4120504822829
10,11,75000,1,3,0,75,200,250,0,0,0,0,360,0,1,0,1,0,0,1,0,0,1,0,0,157.51681612748737
11,12,75000,1,6,0,75,210,260,0,0,0,0,360,1,0,0,1,0,0,1,0,0,1,0,0,359.55483681267225
12,13,75000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,1,0,0,1,0,1,0,0,0,249.69082100936836
13,14,75000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,0,1,0,1,0,1,0,0,0,223.77843586341666
14,15,75000,1,4,0,75,120,170,0,0,0,0,160,1,0,0,1,0,0,0,1,1,0,0,0,132.38158895693033
15,16,75000,1,4,0,75,285,330,0,0,0,0,320,0,1,0,1,0,0,0,1,1,0,0,0,313.3375785418052
16,17,75000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,1,0,0,0,1,1,0,0,0,249.69082100936836
17,18,45000,1,5,0,75,165,210,0,0,0,0,250,1,0,0,1,0,0,0,1,1,0,0,0,238.29140611953244
18,19,40000,1,4,0,75,280,330,0,0,0,0,160,1,0,0,1,0,0,1,0,0,1,0,0,303.505613312663
19,20,105000,1,3,0,75,450,500,0,0,0,0,360,0,1,0,1,0,0,0,1,0,1,0,0,440.4804712245622
20,21,100000,1,6,0,75,300,350,0,0,0,0,360,0,1,0,1,0,0,1,0,1,0,0,0,464.03453035372274
21,22,105000,1,6,0,75,210,260,0,0,0,0,360,0,1,0,0,1,0,1,0,1,0,0,0,345.04186655655644
22,23,50000,1,4,0,75,165,210,0,0,0,0,200,0,1,0,0,1,0,0,1,1,0,0,0,155.5317175807975
23,24,45000,1,3,0,75,285,330,0,0,0,0,240,0,1,0,0,1,0,0,1,0,1,0,0,224.1379449528151
24,25,65000,1,5,0,75,380,430,0,0,0,0,250,1,0,0,1,0,0,0,1,1,0,0,0,482.7298124740246
